prn (keVnr) 	 qi (keVee) 
12.224402   8.077113
9.379414   5.064602
14.459239   8.765879
9.031168   5.600260
13.337393   9.235748
2.562825   0.114024
18.441424   11.759105
9.984279   6.182058
16.165383   10.154312
8.662686   5.318087
14.534087   9.967921
17.466026   11.027657
9.837539   6.492299
2.606739   1.183361
8.172130   5.945896
9.518108   6.122710
2.184186   0.659461
19.534894   11.565831
16.925575   10.902054
4.084308   3.013345
13.894578   8.631525
6.504971   3.705422
11.351546   5.951233
7.235212   3.614126
9.277360   5.566173
8.050753   4.457086
2.452139   1.743599
8.378139   5.051220
7.513436   4.489742
2.332164   1.067024
7.286546   4.207408
3.907915   1.655258
15.756229   9.527493
6.901318   4.280726
10.161102   5.806644
12.088388   7.639828
18.472438   12.358631
17.259488   9.760211
17.807278   11.884578
11.893747   7.402806
9.611592   5.762832
12.496864   7.176542
5.087967   3.617355
18.812159   11.778962
8.388626   5.464619
8.015445   4.026731
14.196447   8.751839
4.349972   2.274738
13.925183   9.458683
8.641938   5.492452
19.785447   11.959974
5.222176   2.660612
8.876423   5.805347
3.462370   2.304832
15.872253   10.339490
13.305240   7.830035
16.337481   10.314727
5.764987   3.557552
18.309324   11.678254
12.151055   6.009319
10.026224   6.173642
15.138907   9.352571
16.834871   9.919824
12.751290   7.501311
9.089384   5.768978
4.705876   2.728858
8.587152   4.882594
19.766299   12.186944
3.518842   2.052259
10.775843   6.863452
16.176918   10.823135
4.583077   2.404586
10.761896   6.214181
18.883780   13.130852
14.441087   9.545468
6.680493   4.375979
17.500279   11.452112
9.664947   5.178987
14.849081   9.208270
7.748463   5.082314
17.955425   11.825108
18.576218   11.570609
14.886815   8.962549
13.284413   8.547010
17.945873   10.771849
9.189558   5.709937
13.484739   8.648278
2.343073   1.303646
8.233899   4.459909
18.135177   12.426210
11.919346   7.034152
9.877300   6.067579
19.991424   13.865597
16.295117   9.690351
18.091375   11.757987
12.467775   7.523192
12.710058   8.658707
7.505606   4.509536
15.959260   11.002698
10.726510   6.614834
12.672196   7.741110
8.792994   5.121130
16.679654   10.938093
3.183915   1.835522
13.994895   8.317413
11.531519   6.974974
8.079420   5.083214
18.395449   12.598919
11.355092   6.186996
16.158812   9.498329
2.719692   1.368565
7.598156   3.411737
12.553316   7.926069
14.138608   10.838445
17.993107   11.014803
6.293780   4.171123
16.097778   10.161972
17.982100   11.591739
7.028376   3.793609
5.624583   3.128102
7.406495   4.221700
2.770677   1.392973
16.578557   10.500335
4.789828   2.820201
12.287336   8.407631
14.545350   8.578935
17.098422   10.228790
2.741098   1.981453
10.613720   7.051161
4.702272   2.042113
3.813067   2.271128
12.597020   8.265909
17.857727   9.767988
11.636256   7.070290
6.439601   3.603054
10.314667   6.678990
3.102060   1.997549
11.378096   8.057618
16.159033   10.059593
9.050477   4.804187
4.023928   2.868637
11.099989   6.743909
9.068883   5.659204
7.911427   3.962253
12.028953   7.535609
8.453444   5.198509
2.600260   0.877687
3.697074   1.250586
17.720522   10.872945
9.180254   5.418549
15.236406   9.777951
9.897595   7.063420
6.638669   4.571190
10.851218   7.665863
9.705037   6.103063
16.564808   10.382930
14.615065   8.941500
11.998216   6.607193
